X,Area,Year,Date,Type,Sub.Area,Address,AddressArea,coordinates,latitude,longitude,BuildingType,LandArea,Pricepsf,Price,BuiltUp,State,CityArea.km2.,City.Town.Village,school.normalised,Population,CPI,Pop.Density,dis_Klcenter_km,time_Klcenter_min,dis_airport_km,time_airport_min,min_dist_hospital_2km,min_dist_school_2km,dist_conv_store_2km,dist_train_10km,dist_min_police_2km,dist_bus_500m,no_hospital_2km,no_train_station_10km,no_conv_store_2km,no_manufacturing_1km,no_manufacturing_500,no_police_2km,no_bus_station_500m,no_school_1km
2,AMPANG JAYA,2010,4/12/10,Commercial,TAMAN AMPANG MEWAH,JALAN MEWAH 1,"JALAN MEWAH 1, AMPANG JAYA",3.1255428+101.7637734,3.1255428,101.7637734,RETAIL UNIT,311,52,16300,NA,Selengor,143.5,Town,2.68E-05,782954.4,100,5456.128223,15.32,19.63,71.32,63.48,124.98,113.33,15.12,7186.1,683.13,99.06,20,8,20,20,20,3,10,20
3,AMPANG JAYA,2010,12/10/10,Commercial,TAMAN PANDAN RIA,JALAN PANDAN RIA 2,"JALAN PANDAN RIA 2, AMPANG JAYA",3.1399831+101.760822,3.1399831,101.760822,OFFICE,646,232,150000,NA,Selengor,143.5,Town,2.68E-05,782954.4,100,5456.128223,15.31,20.35,73,65.67,228.85,358.51,208.05,7453.22,844.85,385.81,20,10,20,20,20,6,5,20
4,AMPANG JAYA,2012,10/23/2012,Commercial,TAMAN MUDA,JALAN BUNGA TANJUNG 6A,"JALAN BUNGA TANJUNG 6A, AMPANG JAYA",3.1212294+101.7607765,3.1212294,101.7607765,OFFICE,593,843,500000,NA,Selengor,143.5,Town,2.68E-05,836245.3,105,5827.49338,15.58,19.15,70.53,61.53,310.22,216.85,51.41,6686.65,113.79,113.42,20,9,20,20,20,3,10,20
9,AMPANG JAYA,2013,10/7/13,Industrial,KAMPUNG BARU CHINA,JALAN 12 KAMPUNG BARU AMPANG TAMBAHAN,"JALAN 12 KAMPUNG BARU AMPANG TAMBAHAN, AMPANG JAYA",3.1661724+101.7637504,3.1661724,101.7637504,DETACHED FACTORY,11496,339,3900000,NA,Selengor,143.5,Town,2.68E-05,862890.8,107.1,6013.176307,15.54,21.25,77.26,69.42,867.72,598.2,793.88,7960.45,141.52,NA,20,8,20,20,4,6,NA,14
19,AMPANG JAYA,2013,10/18/2013,Industrial,KAMPUNG BARU CHINA, JALAN 11,"JALAN 11, AMPANG JAYA",3.1209697+101.7660208,3.1209697,101.7660208,DETACHED FACTORY,7911,276,2180000,NA,Selengor,143.5,Town,2.68E-05,862890.8,107.1,6013.176307,17.05,21,73.08,66.65,676.42,302.78,356.48,7217.69,593.52,31.27,20,8,20,20,20,3,13,20
20,AMPANG JAYA,2014,1/21/2014,Industrial,MERDEKA RIA INDUSTRIAL PARK, JALAN MERDEKA RIA 1,"JALAN MERDEKA RIA 1, AMPANG JAYA",3.1347705+101.7634904,3.1347705,101.7634904,TERRACE FACTORY,2002,789,1580000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.39,18.68,73.34,64.33,359.79,597.78,402.92,7653.31,1282.33,133.97,20,10,20,20,20,7,11,20
22,AMPANG JAYA,2014,1/7/14,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN MERDEKA RIA 1,"JALAN MERDEKA RIA 1, AMPANG JAYA",3.1347705+101.7634904,3.1347705,101.7634904,TERRACE FACTORY,2002,749,1500000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.39,18.68,73.34,64.33,359.79,597.78,402.92,7653.31,1282.33,133.97,20,10,20,20,20,7,11,20
25,AMPANG JAYA,2014,9/29/2014,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN MERDEKA RIA 2,"JALAN MERDEKA RIA 2, AMPANG JAYA",3.1351093+101.7636878,3.1351093,101.7636878,TERRACE FACTORY,1873,854,1600000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.4,18.8,73.36,64.47,331.96,562.65,361.69,7692.02,1241.82,111.06,20,10,20,20,20,7,11,20
26,AMPANG JAYA,2014,12/19/2014,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMA 3,"JALAN BUKIT PERMAI UTAMA 3, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,7200,514,3700000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
30,AMPANG JAYA,2014,4/10/14,Commercial,PARAGON POINT,PARAGON POINTJALAN BUNGA TANJUNG 8,"PARAGON POINTJALAN BUNGA TANJUNG 8, AMPANG JAYA",3.120287+101.761884,3.120287,101.761884,RETAIL UNIT,431,104,45000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.77,20.63,70.57,62.65,309.83,64.2,119.81,6761.29,127.91,133.85,20,9,20,20,20,3,9,20
33,AMPANG JAYA,2014,10/23/2014,Residential,TAMAN PINGGIRAN CEMPAKA,JALAN PINGGIRAN CEMPAKA,"JALAN PINGGIRAN CEMPAKA, AMPANG JAYA",3.1371165+101.7502628,3.1371165,101.7502628,TOWN HOUSE,904,365,330000,904,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.87,15.9,71.56,61.22,353.23,361.39,276.31,6287.08,992.94,268.44,20,13,20,20,20,7,12,20
35,AMPANG JAYA,2014,12/12/14,Residential,TAMAN AMPANG MAJU,JALAN 6A,"JALAN 6A, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,3401,294,1000000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,16.03,20.18,73.98,65.85,259.26,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
36,AMPANG JAYA,2014,5/14/2014,Residential,TAMAN AMPANG MAJU,JALAN 6A,"JALAN 6A, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,3401,588,2000000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,16.03,20.18,73.98,65.85,259.26,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
38,AMPANG JAYA,2014,8/16/2014,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN MERDEKA RIA 2,"JALAN MERDEKA RIA 2, AMPANG JAYA",3.1351093+101.7636878,3.1351093,101.7636878,TERRACE FACTORY,1873,481,900000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.4,18.8,73.36,64.47,331.96,562.65,361.69,7692.02,1241.82,111.06,20,10,20,20,20,7,11,20
39,AMPANG JAYA,2014,12/9/14,Industrial,KAMPUNG BARU CHINA, JALAN 11,"JALAN 11, AMPANG JAYA",3.1209697+101.7660208,3.1209697,101.7660208,DETACHED FACTORY,7266,454,3300000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,17.05,21,73.08,66.65,676.42,302.78,356.48,7217.69,593.52,31.27,20,8,20,20,20,3,13,20
40,AMPANG JAYA,2014,8/1/14,Industrial,MERDEKA RIA INDUSTRIAL PARK,JALAN BUKIT PERMAI UTAMA TIGA,"JALAN BUKIT PERMAI UTAMA TIGA, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,7200,521,3750000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
41,AMPANG JAYA,2014,8/1/14,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMA 3,"JALAN BUKIT PERMAI UTAMA 3, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,7200,521,3750000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
47,AMPANG JAYA,2014,3/10/14,Commercial,TAMAN MUDA,JALAN BUNGA TANJUNG 6A,"JALAN BUNGA TANJUNG 6A, AMPANG JAYA",3.1212294+101.7607765,3.1212294,101.7607765,OFFICE,1345,781,1050000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,15.58,19.15,70.53,61.53,310.22,216.85,51.41,6686.65,113.79,113.42,20,9,20,20,20,3,10,20
52,AMPANG JAYA,2014,6/18/2014,Residential,TAMAN BUKIT AMPANG,JALAN MUTIARA,"JALAN MUTIARA, AMPANG JAYA",3.1413673+101.7778513,3.1413673,101.7778513,SEMI-D,4252,223,950000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,17.01,23.45,75.23,68.87,259.26,1024.32,399.29,9347.51,1278.09,199.21,10,3,20,20,20,3,4,18
55,AMPANG JAYA,2014,12/1/14,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMAN SATU,"JALAN BUKIT PERMAI UTAMAN SATU, AMPANG JAYA",3.1101076+101.7542545,3.1101076,101.7542545,SEMI-D FACTORY,6824,542,3700000,NA,Selengor,143.5,Town,2.68E-05,889536.2,110.85,6198.858537,13.75,20.6,68.81,59.75,327.59,103.18,413.65,5606.94,1109.13,83.59,20,10,20,20,20,2,6,17
57,AMPANG JAYA,2015,9/17/2015,Industrial,KAMPUNG BARU CHINA,KAMPUNG BARU CINA,"KAMPUNG BARU CINA, AMPANG JAYA",3.141022+101.763875,3.141022,101.763875,DETACHED FACTORY,9000,176,1580000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,15.65,21.18,73.34,66.5,285.32,4172.91,205.19,7793.59,591.42,112.92,20,10,20,20,20,5,6,20
60,AMPANG JAYA,2015,5/8/15,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,861,319,275000,861,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
62,AMPANG JAYA,2015,7/6/15,Industrial,TAMAN CAHAYA,JALAN CAHAYA 15,"JALAN CAHAYA 15, AMPANG JAYA",3.1450958+101.7593613,3.1450958,101.7593613,TERRACE FACTORY,861,429,1200000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,15.41,18.17,72.76,63.85,365.64,58.95,587,7313.9,514.34,158.71,20,10,20,20,20,6,11,20
65,AMPANG JAYA,2015,2/27/2015,Residential,TAMAN AMPANG MAJU, JALAN 6,"JALAN 6, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,861,369,1165000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,16.03,20.18,73.98,65.85,258.46,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
69,AMPANG JAYA,2015,8/20/2015,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,685,348,300000,861,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
70,AMPANG JAYA,2015,9/18/2015,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,732,387,333000,861,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
72,AMPANG JAYA,2015,9/28/2015,Residential,TAMAN PINGGIRAN CEMPAKA,JALAN PINGGIRAN CEMPAKA,"JALAN PINGGIRAN CEMPAKA, AMPANG JAYA",3.1371165+101.7502628,3.1371165,101.7502628,TOWN HOUSE,650,426,385000,904,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.87,15.9,71.56,61.22,353.23,361.39,276.31,6287.08,992.94,268.44,20,13,20,20,20,7,12,20
74,AMPANG JAYA,2015,10/20/2015,Industrial,AMAN DAGANG JAYA,JALAN DAGANG 10,"JALAN DAGANG 10, AMPANG JAYA",3.1345373+101.7763681,3.1345373,101.7763681,TERRACE FACTORY,NA,611,1170000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,16.52,23.33,74.47,69,525.38,499.14,630.87,8884.53,1789.34,NA,12,4,20,20,10,1,NA,20
77,AMPANG JAYA,2015,1/6/15,Industrial,KAMPUNG BARU CHINA, JALAN 11,"JALAN 11, AMPANG JAYA",3.1209697+101.7660208,3.1209697,101.7660208,DETACHED FACTORY,819,369,2600000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,17.05,21,73.08,66.65,676.42,302.78,356.48,7217.69,593.52,31.27,20,8,20,20,20,3,13,20
78,AMPANG JAYA,2015,2/24/2015,Residential,TAMAN BUKIT AMPANG,JALAN NILAM,"JALAN NILAM, AMPANG JAYA",3.1411969+101.7784306,3.1411969,101.7784306,SEMI-D,NA,206,815000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,17.1,23.88,75.32,69.3,258.46,1082.45,435.72,9411.58,1313.89,219.72,10,3,20,20,20,3,4,17
83,AMPANG JAYA,2015,7/16/2015,Residential,TAMAN PINGGIRAN CEMPAKA,JALAN PINGGIRAN CEMPAKA,"JALAN PINGGIRAN CEMPAKA, AMPANG JAYA",3.1371165+101.7502628,3.1371165,101.7502628,TOWN HOUSE,835,420,380000,904,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.87,15.9,71.56,61.22,353.23,361.39,276.31,6287.08,992.94,268.44,20,13,20,20,20,7,12,20
84,AMPANG JAYA,2015,12/1/15,Commercial,TAMAN LEMBAH MAJU,JALAN MAJU 3/3,"JALAN MAJU 3/3, AMPANG JAYA",3.1251877+101.7562186,3.1251877,101.7562186,SHOP UNIT,861,113,90000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,15.4,20.07,71.16,64.3,516.07,329.34,71.29,6417.52,707.2,111.17,20,11,20,20,20,4,8,20
85,AMPANG JAYA,2015,10/15/2015,Residential,TAMAN PINGGIRAN CEMPAKA,JALAN PINGGIRAN CEMPAKA,"JALAN PINGGIRAN CEMPAKA, AMPANG JAYA",3.1371165+101.7502628,3.1371165,101.7502628,TOWN HOUSE,653,459,415000,904,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.87,15.9,71.56,61.22,353.23,361.39,276.31,6287.08,992.94,268.44,20,13,20,20,20,7,12,20
95,AMPANG JAYA,2015,2/5/15,Industrial,KAMPUNG BARU CHINA,JALAN 11,"JALAN 11, AMPANG JAYA",3.1209697+101.7660208,3.1209697,101.7660208,DETACHED FACTORY,861,398,3000000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,17.05,21,73.08,66.65,676.42,302.78,356.48,7217.69,593.52,31.27,20,8,20,20,20,3,13,20
96,AMPANG JAYA,2015,8/21/2015,Residential,TAMAN BUKIT SEGAR EMAS/CHERAS HARTAMAS(AMPG),JALAN CH 11,"JALAN CH 11, AMPANG JAYA",3.0839687+101.7458594,3.0839687,101.7458594,SEMI-D,NA,542,1790000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.71,19.32,70.86,60.02,824.09,315.95,233.34,3962.09,690.73,76.42,6,12,20,20,6,8,6,20
97,AMPANG JAYA,2015,10/30/2015,Commercial,PUTERI PARK PLAZA,JALAN 28 PUTERI PARK PLAZA,"JALAN 28 PUTERI PARK PLAZA, AMPANG JAYA",3.1209552+101.7635105,3.1209552,101.7635105,OFFICE,NA,186,40000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,17.53,22.3,71.15,64.23,502.61,78.52,78.42,6956.77,319.42,46.56,20,8,20,20,20,3,10,20
105,AMPANG JAYA,2015,7/21/2015,Residential,TAMAN BUKIT SEGAR EMAS/CHERAS HARTAMAS(AMPG),JALAN CH 11,"JALAN CH 11, AMPANG JAYA",3.0839687+101.7458594,3.0839687,101.7458594,SEMI-D,656,529,2050000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.71,19.32,70.86,60.02,824.09,315.95,233.34,3962.09,690.73,76.42,6,12,20,20,6,8,6,20
107,AMPANG JAYA,2015,12/16/2015,Residential,TAMAN AMPANG MAJU,JALAN 6,"JALAN 6, AMPANG JAYA",3.1406503+101.7659365,3.1406503,101.7659365,SEMI-D,635,333,1450000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,16.03,20.18,73.98,65.85,258.46,232.85,270.21,8022.15,617.71,152.5,20,9,20,20,20,5,9,20
108,AMPANG JAYA,2015,3/2/15,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMA 2,"JALAN BUKIT PERMAI UTAMA 2, AMPANG JAYA",3.1108526+101.7544314,3.1108526,101.7544314,TERRACE FACTORY,635,621,1550000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.78,20.35,68.84,59.5,245.43,698.66,330.03,5646.38,1115.62,90.24,20,10,20,20,20,4,6,18
109,AMPANG JAYA,2015,1/29/2015,Industrial,TAMAN INDUSTRI BUKIT PERMAI,JALAN BUKIT PERMAI UTAMA TIGA,"JALAN BUKIT PERMAI UTAMA TIGA, AMPANG JAYA",3.1106906+101.7540593,3.1106906,101.7540593,SEMI-D FACTORY,769,286,5000000,NA,Selengor,143.5,Town,2.68E-05,916181.7,114.35,6384.541463,13.73,20.08,68.79,59.23,283.49,741.96,365.48,5601.81,1076.92,79.05,20,10,20,20,20,4,6,18
115,AMPANG JAYA,2016,9/15/2016,Residential,KAMPUNG TASIK TAMBAHAN,LORONG 2/1E,"LORONG 2/1E, AMPANG JAYA",3.1450785+101.745618,3.1450785,101.745618,TERRACE HOUSE,603,493,335000,679,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,14.07,15.13,72.16,60.82,197.75,528.14,373.36,5792.2,1119.11,26.04,20,14,20,20,20,8,19,20
118,AMPANG JAYA,2016,10/28/2016,Residential,TAMAN BUKIT SEGAR,JALAN BUKIT SEGAR 1,"JALAN BUKIT SEGAR 1, AMPANG JAYA",3.0911873+101.7483078,3.0911873,101.7483078,FLAT,635,190,130000,685,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.57,18.77,70.86,60.37,241.31,175.54,502.24,4458.97,1106.33,289.1,20,11,20,20,16,7,5,17
121,AMPANG JAYA,2016,10/21/2016,Residential,TAMAN BUKIT SEGAR,JALAN BUKIT SEGAR 1,"JALAN BUKIT SEGAR 1, AMPANG JAYA",3.0911873+101.7483078,3.0911873,101.7483078,FLAT,892,225,165000,732,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.57,18.77,70.86,60.37,241.31,175.54,502.24,4458.97,1106.33,289.1,20,11,20,20,16,7,5,17
122,AMPANG JAYA,2016,10/18/2016,Residential,TAMAN BUKIT SEGAR,JALAN BUKIT SEGAR 1,"JALAN BUKIT SEGAR 1, AMPANG JAYA",3.0911873+101.7483078,3.0911873,101.7483078,FLAT,923,192,125000,650,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.57,18.77,70.86,60.37,241.31,175.54,502.24,4458.97,1106.33,289.1,20,11,20,20,16,7,5,17
123,AMPANG JAYA,2016,12/23/2016,Residential,PANDAN VILLE,JALAN PANDAN INDAH 1/16,"JALAN PANDAN INDAH 1/16, AMPANG JAYA",3.1296078+101.7517943,3.1296078,101.7517943,CONDOMINIUM,468,367,450000,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.16,16.15,71.11,61.8,56.15,103.5,334.93,6250.71,232.56,59.93,20,13,20,20,20,4,10,20
124,AMPANG JAYA,2016,12/13/2016,Commercial,TAMAN PANDAN INDAH,JALAN PANDAN UTAMAPERSIARAN MPAJ,"JALAN PANDAN UTAMAPERSIARAN MPAJ, AMPANG JAYA",3.1284763+101.7544375,3.1284763,101.7544375,OFFICE,751,385,260000,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.78,17.07,70.76,60.53,232.75,97.49,104.88,6428.61,441.54,92.13,20,11,20,20,20,4,13,20
125,AMPANG JAYA,2016,12/3/16,Residential,ANTARA,JALAN MULIA JAYA,"JALAN MULIA JAYA, AMPANG JAYA",3.133552+101.7890089,3.133552,101.7890089,APARTMENT,NA,193,158000,819,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,18.27,26.38,75.51,70.57,929.3,490.21,86.12,12000,NA,104.33,4,NA,18,20,1,NA,4,8
126,AMPANG JAYA,2016,12/7/16,Residential,ANTARA,JALAN MULIA 1/2,"JALAN MULIA 1/2, AMPANG JAYA",3.1951146+101.774575,3.1951146,101.774575,APARTMENT,751,174,176000,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,22.28,23.42,79.55,70.98,929.3,190.25,177.27,9600.11,1081.18,378.72,1,3,13,15,1,1,1,12
127,AMPANG JAYA,2016,11/16/2016,Residential,ANTARA,ANTARA APARTMENT JALAN MULIA 1/2,"ANTARA APARTMENT JALAN MULIA 1/2, AMPANG JAYA",3.130795+101.7906721,3.130795,101.7906721,APARTMENT,751,216,180000,835,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,18.6,27.8,75.85,71.98,1747.83,746.07,267.29,12000,NA,314.44,3,NA,16,13,1,NA,2,4
128,AMPANG JAYA,2016,2/19/2016,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,710,389,335000,861,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
136,AMPANG JAYA,2016,10/11/16,Residential,KAMPUNG TASIK TAMBAHAN,JALAN 4/5A,"JALAN 4/5A, AMPANG JAYA",3.1516338+101.7540573,3.1516338,101.7540573,TERRACE HOUSE,NA,615,500000,813,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,15.04,17.03,73.5,63.88,378.69,304.85,300.56,6789.11,413.06,295.05,20,13,20,20,20,6,9,20
137,AMPANG JAYA,2016,9/21/2016,Residential,KAMPUNG TASIK TAMBAHAN,JALAN 5/7,"JALAN 5/7, AMPANG JAYA",3.1240718+101.7675856,3.1240718,101.7675856,TERRACE HOUSE,838,510,300000,588,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,16.47,19.38,71.97,65.13,502.11,467.66,449.47,7506.99,874.46,86.91,20,8,20,20,20,3,16,20
139,AMPANG JAYA,2016,8/26/2016,Residential,KAMPUNG TASIK TAMBAHAN,JALAN 2/3,"JALAN 2/3, AMPANG JAYA",3.1213917+101.766916,3.1213917,101.766916,TERRACE HOUSE,904,751,440000,586,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,16.99,20.62,73.01,66.27,676.28,240.65,414.08,7327.38,699.46,86.33,20,8,20,20,20,3,14,20
140,AMPANG JAYA,2016,12/20/2016,Residential,ANTARA,JALAN MULIA 1/2,"JALAN MULIA 1/2, AMPANG JAYA",3.1951146+101.774575,3.1951146,101.774575,APARTMENT,892,214,140000,653,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,22.28,23.42,79.55,70.98,929.3,190.25,177.27,9600.11,1081.18,378.72,1,3,13,15,1,1,1,12
141,AMPANG JAYA,2016,2/26/2016,Residential,CENGAL,JALAN CHERAS HARTAMAS,"JALAN CHERAS HARTAMAS, AMPANG JAYA",3.093298700000001+101.752308,3.0932987,101.752308,APARTMENT,612,325,280000,861,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,14.68,21,71.83,61.68,1443.81,204.4,162.87,4959.31,1172.82,104.9,20,11,20,20,1,7,6,12
142,AMPANG JAYA,2016,11/1/16,Commercial,TAMAN PANDAN MEWAH,JALAN MEWAH 4,"JALAN MEWAH 4, AMPANG JAYA",3.1393725+101.7595008,3.1393725,101.7595008,SHOP UNIT,753,539,410000,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,15,18.48,72.69,63.8,69.82,519.72,57.95,7306.58,988.8,344.75,20,10,20,20,20,6,1,20
143,AMPANG JAYA,2016,12/27/2016,Residential,TAMAN BUKIT SEGAR EMAS/CHERAS HARTAMAS(AMPG),JALAN CH 10,"JALAN CH 10, AMPANG JAYA",3.0821114+101.7466937,3.0821114,101.7466937,SEMI-D,721,157,520098,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.52,18.95,70.67,59.65,968.4,353.1,72.97,4014.75,728.79,116.57,6,10,20,20,20,8,5,20
144,AMPANG JAYA,2016,2/26/2016,Residential,TAMAN PINGGIRAN CEMPAKA,JALAN PINGGIRAN CEMPAKA,"JALAN PINGGIRAN CEMPAKA, AMPANG JAYA",3.1371165+101.7502628,3.1371165,101.7502628,TOWN HOUSE,751,428,387000,904,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.87,15.9,71.56,61.22,353.23,361.39,276.31,6287.08,992.94,268.44,20,13,20,20,20,7,12,20
145,AMPANG JAYA,2016,12/14/2016,Industrial,AMAN DAGANG JAYA,JALAN DAGANG 8A,"JALAN DAGANG 8A, AMPANG JAYA",3.1344646+101.7775601,3.1344646,101.7775601,TERRACE FACTORY,751,679,1300000,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,16.57,23.15,74.52,68.8,645.02,611.58,646.57,8998.93,1888.9,NA,12,4,20,20,8,1,NA,20
149,AMPANG JAYA,2016,3/23/2016,Industrial,KAMPUNG TASEK TAMBAHAN, JALAN 6/11,"JALAN 6/11, AMPANG JAYA",3.1231101+101.7726731,3.1231101,101.7726731,SEMI-D FACTORY,635,299,5603774,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,16.59,20.75,72.35,66.45,287.79,297.01,17.89,7993.7,1365.62,241.75,10,5,20,20,20,1,8,20
150,AMPANG JAYA,2016,10/24/2016,Residential,KAMPUNG TASIK TAMBAHAN,LORONG 4/8,"LORONG 4/8, AMPANG JAYA",3.1644597+101.751117,3.1644597,101.751117,TERRACE HOUSE,751,552,375000,679,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,19.95,18.13,77.48,66.82,507.82,574.06,101.16,6543.94,963.33,164.71,20,13,20,20,7,7,8,20
151,AMPANG JAYA,2016,12/20/2016,Residential,PANDAN VILLE,JALAN PANDAN INDAH 1/16,"JALAN PANDAN INDAH 1/16, AMPANG JAYA",3.1296078+101.7517943,3.1296078,101.7517943,CONDOMINIUM,892,286,450000,NA,Selengor,143.5,Town,2.68E-05,942827.1,116.18,6570.223693,13.16,16.15,71.11,61.8,56.15,103.5,334.93,6250.71,232.56,59.93,20,13,20,20,20,4,10,20
